username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes
TobiasAnimeMan,6325326,3,74,6,3,121,40.11,Male,"Mostoles, Madrid",1995-12-03,,2017-06-18,2018-05-18 11:14:49,8.39,1,2427
Melorin,334143,9,1228,21,33,12,235.20,Male,,1991-11-05,,2010-05-28,1900-05-16 12:36:00,9.14,32,14577
Chibi_Hige,205188,27,778,153,37,147,248.76,Male,"Raleigh, NC",1989-12-22,,2009-07-09,1900-05-12 21:05:00,6.92,144,14854
Time_Alter,6955850,17,320,9,56,55,116.36,Male,New York,1997-01-01,,2018-02-04,2018-05-17 01:16:20,6.83,0,7082
juha19,86842,16,220,47,10,132,132.65,Male,Tokyo,1988-01-01,,2008-08-17,1900-04-01 03:30:00,6.16,61,7781
MysticMimi,450957,71,98,6,6,207,30.22,Female,"Casablanca, Morocco",1994-05-10,,2011-02-19,2017-09-28 15:24:00,8.11,11,1703
TahTheTrickster,324236,0,3,2,0,3,3.23,Female,,,,2010-05-03,2010-07-12 12:21:00,9.17,0,188
Himono-onna,213444,7,399,11,2,8,117.60,Female,,,,2009-07-27,1900-02-22 12:44:00,8.43,0,7331
Zelfff,6346602,14,110,0,0,5,48.28,Male,,,,2017-06-26,2017-10-24 19:26:00,7.4,0,2865
momiji2,22672,32,30,0,0,14,19.48,Female,,1994-01-18,,2007-11-19,2010-08-25 13:17:00,8.62,23,1103
odst01,130169,65,209,4,4,117,54.69,Male,,1992-10-26,,2009-01-02,2017-02-19 10:11:00,8.64,0,3125
Laura_Salmond,6955108,8,29,41,1,133,17.07,,,,,2018-02-04,1900-05-16 13:04:00,8.27,0,1017
thatguy828,361974,2,221,0,3,3,80.34,Male,,,,2010-07-28,2017-02-18 04:51:00,6.26,0,4766
hitokouji,2091363,12,282,40,10,150,82.09,Female,,,,2013-01-25,2017-12-14 10:08:00,6.62,0,4999
VictorX,1044917,3,144,4,49,11,57.47,Male,"Hoboken, NJ",1990-08-25,,2011-12-06,1900-04-17 12:18:00,6.79,2,3444
Slazo,414265,10,249,42,2,112,66.33,Male,United Kingdom,1991-02-27,,2010-11-30,1900-05-13 04:07:00,6.32,28,4069
stitchedouchies,391591,14,39,10,3,15,23.14,Female,"California,USA",1990-07-23,,2010-10-04,2013-05-02 15:32:00,7.0,4,1324
Mystery8438,6557835,11,102,1,6,76,47.71,Male,,,,2017-09-15,2018-05-16 20:41:00,7.34,0,2971
Laine-Crys,143762,46,116,3,1,40,49.88,Female,"Brazil, bahia",1989-01-27,,2009-01-28,1900-05-11 13:20:00,8.56,0,2968
pjmyster,1907094,3,101,4,1,16,53.53,,,,,2012-12-16,2016-07-27 22:45:00,9.41,10,3203
Oborosu,5863650,9,173,26,3,15,85.44,Male,Sydney,1991-01-01,,2016-11-27,1900-03-12 19:02:00,7.71,0,5170
IronChefTakun,90675,30,572,5,16,0,107.91,Male,,,,2008-08-31,2015-09-13 11:56:00,7.25,0,6596
Dantaliongremory,5071681,81,281,0,30,42,57.58,Male,,1999-01-01,,2015-12-23,2016-05-22 22:17:00,7.62,11,3667
UnoupHigashikata,6522638,22,247,0,9,47,72.56,,,,,2017-08-31,2018-05-18 00:58:19,6.04,0,4444
Azolla,3157015,6,77,2,0,18,35.18,Female,Belgium ,,,2013-09-14,2016-06-15 02:46:00,8.56,0,2206
Hooplas,37425,1,148,0,0,37,95.36,Female,In my house X3,1989-11-14,,2008-02-14,2009-10-08 19:10:00,7.55,45,5748
ZetKurate,120853,34,985,30,18,21,281.05,Male,Academy City,,,2008-12-05,2018-05-18 05:58:21,7.41,13,17653
guim4,5736216,22,320,37,11,196,119.29,,,,,2016-09-30,2018-05-18 02:58:24,7.08,8,7308
Zakew,6023468,2,33,3,3,9,10.58,Non-Binary,High Ground 295,,,2017-02-01,1900-05-14 07:00:00,7.52,6,633
kyahmagda,89849,9,76,13,21,7,46.10,Female,Its always sunny in florida~,1991-05-02,,2008-08-28,2013-05-17 15:55:00,7.54,3,2806
Kayaki,117568,10,51,12,3,36,26.03,Male,"Guararema, São Paulo",1992-01-17,,2008-11-25,2011-03-20 01:17:00,8.13,0,1524
Olsea,753535,6,24,0,0,22,16.01,,,,,2011-10-15,2017-08-01 14:05:00,6.53,0,956
moissi,2407281,2,491,2,0,14,91.64,Female,Croatia,,,2013-04-08,2018-05-18 11:35:31,6.69,2,5414
semmel,24478,11,134,51,14,171,38.31,Male,"Vienna, Austria",1987-08-02,,2007-12-02,1900-03-11 07:03:00,7.82,0,2212
Arassar,80020,6,325,0,43,18,110.86,Male,,1984-02-18,,2008-07-26,2017-07-21 21:43:00,7.6,25,6471
fr0stychao,2348885,5,146,1,6,25,53.61,Female,,1995-12-09,,2013-03-25,1900-04-21 03:37:00,7.35,6,3097
ZaBondo,6843999,7,26,1,0,6,7.71,,,,,2017-12-30,1900-05-13 21:24:00,7.14,0,461
Nick-Knight,3467577,11,320,160,0,304,81.83,Male,Uberlândia - MG/Brazil,1995-11-18,,2014-01-07,2018-05-17 07:41:00,6.52,3,4890
Zacknarian,4445394,5,21,0,2,6,14.92,Male,,1997-03-14,,2015-01-27,2016-03-08 09:03:00,7.67,0,884
Verdict,20276,68,398,19,0,91,186.96,Male,"Vilnius, Lithuania",1990-07-14,,2007-11-05,1900-05-15 10:55:00,8.15,84,11186
Gabriel_18,6881365,8,32,2,3,10,51.19,,,,,2018-01-10,1900-02-02 17:41:00,7.43,1,3089
animefanftw,72135,31,268,4,2,216,56.86,,,,,2008-06-28,1900-05-02 21:30:00,8.86,0,3280
Baka-Neko,164223,5,142,0,2,72,28.95,Male,,,,2009-03-29,2011-02-12 23:32:00,7.71,0,1722
bakaseinen,150253,23,37,7,0,9,24.26,Male,"Norfolk, Virginia",1988-04-18,,2009-02-15,2010-04-04 14:23:00,8.51,4,1434
RamnDude,130082,23,78,18,18,37,45.63,Male,"Apple Valley, California",1991-08-19,,2009-01-02,2012-01-09 01:15:00,7.61,4,2726
Kyuik,95586,14,526,32,6,201,157.79,Female,Poland/Lodz,1991-10-24,,2008-09-17,1900-01-30 15:10:00,7.73,1,9283
J151carlos,4782639,82,1120,0,14,60,178.78,Male,"Fairview, New Jersey",1999-05-04,,2015-07-31,2018-05-16 23:59:21,7.26,4,11421
Monki,213229,29,140,9,2,46,42.12,Female,,1991-06-25,,2009-07-26,2017-09-29 02:57:00,8.3,0,2466
Hopesedge,4517647,11,160,9,0,34,105.73,Male,"Birmingham, England",1997-05-20,,2015-03-25,1900-05-13 16:24:00,7.47,0,6260
VileGecko,286128,18,435,5,24,72,111.11,,,,,2010-01-23,2017-11-11 14:09:00,8.15,10,6439
dragonball92,25452,13,19,0,0,0,11.71,Male,"california, los angeles",1992-03-27,,2007-12-09,2009-02-21 21:17:00,9.0,7,695
HikkiVantas,2973517,0,5,0,0,0,1.44,Female,United States,1999-07-25,,2013-08-01,2016-12-18 10:47:00,8.0,0,87
foldypaper,18429,2,36,10,4,8,9.68,Female,,,,2007-10-22,2014-12-04 03:29:00,7.65,14,551
SafetyPin,177772,25,100,15,3,97,55.11,Female,,1993-08-09,,2009-05-02,2009-05-17 16:46:00,8.13,7,3220
Pressagio,14382,7,86,6,3,34,67.66,,,,,2007-09-21,2013-02-12 18:53:00,7.55,12,4044
Gabriiel,258557,2,14,4,3,6,15.80,Female,Northern Europe,,,2009-11-14,2013-01-16 11:33:00,7.86,8,954
EbonyRaven,548339,3,406,0,19,38,140.51,Male,,,,2011-08-18,2018-05-18 08:59:00,8.12,179,8167
LusciousLobsters,3921987,17,444,20,80,83,132.70,Male,,1998-09-21,,2014-07-12,1900-01-14 11:48:00,6.08,0,7937
DrYandereRena,86717,7,48,9,0,123,11.06,Female,Some where in London,1993-02-06,,2008-08-17,2010-10-02 13:12:00,8.53,0,678
MrXred,323282,1,79,7,3,76,51.02,Male,,1994-02-28,,2010-05-01,2016-11-14 12:53:00,5.0,0,3065
Rage24,53658,22,1235,1,28,0,311.29,Male,,1985-11-24,,2008-04-17,2018-05-16 14:09:00,8.01,0,18346
DevilAvalion,2463163,2,57,0,0,0,22.30,Male,,1985-06-06,,2013-04-20,2014-04-24 12:52:00,0.0,0,1304
Sinclair178,143844,3,38,2,1,14,16.14,,,,,2009-01-28,1900-01-27 16:54:00,7.81,7,957
daniel648,302191,3,19,2,0,2,5.25,Male,Under Your FUTON! / KOTATSU,2001-09-11,,2010-03-07,2010-04-13 03:36:00,8.87,0,314
supahlupah,99350,4,254,0,0,1,93.29,Male,capital federal,1986-10-08,,2008-09-28,1900-04-11 09:08:00,7.95,105,5529
Raziel_Metallium,417524,7,902,11,0,58,176.63,Male,,1989-11-25,,2010-12-08,2018-05-17 14:21:00,6.4,0,10426
tenuo,38988,4,223,17,18,165,100.79,Male,France,,,2008-02-22,1900-03-31 19:52:00,7.85,34,5968
AHuMex,165360,31,709,69,20,142,179.62,Male,"Russia, Moscow",1983-03-19,,2009-04-01,2017-03-26 12:18:00,7.35,18,10455
hijikatas,2743321,2,248,16,38,55,63.47,Male,,1999-08-25,,2013-06-20,2018-05-16 14:20:00,6.86,30,3850
Yoon,268736,20,775,16,49,12,230.66,Male,France,,,2009-12-11,2017-09-28 06:08:00,6.16,34,13850
Imamul-Kabir,4531498,28,607,9,6,222,178.98,Male,"Dhaka,Bangladesh",1997-07-07,,2015-04-01,1900-04-22 04:56:00,8.29,4,11024
Prideofmebu,15951,14,122,2,10,1,67.00,Male,,,,2007-10-04,2014-05-07 13:28:00,8.69,0,3873
toheart2luver,183063,9,5,3,0,9,1.26,Female,,,,2009-05-16,2010-11-23 08:11:00,9.14,3,69
mokona_mushroom,1580847,13,97,0,0,65,27.97,Female,Under your bed,,,2012-10-03,1900-03-08 18:56:00,7.5,0,1679
xXxKazuyaxXx,182650,1,12,0,0,0,8.49,Male,"Montréal, Quebec",1988-08-13,,2009-05-15,2009-10-16 13:33:00,9.77,0,518
maaartinko,5145900,5,61,12,1,54,52.57,Male,Switzerland,1999-05-14,,2016-01-21,2017-12-28 02:16:00,7.7,0,3163
GoddesofEggrolls,233438,22,75,0,5,39,23.17,Female,Washington,1990-02-01,,2009-09-13,2016-12-14 15:51:00,7.63,5,1304
koizumi_enma,413925,9,73,10,0,81,46.34,Female,,,,2010-11-29,2013-09-08 14:43:00,9.2,0,2756
DSJFX18,14806,45,458,298,11,121,138.33,Male,Toronto,,,2007-09-24,1900-01-20 19:00:00,7.72,3,8316
futari,95622,29,57,5,1,2,19.95,,"Tilburg, The Netherlands",1986-04-02,,2008-09-17,2012-04-17 07:42:00,7.64,0,1201
infinityand1,86781,2,27,0,0,7,6.79,Male,CALIFORNIA,1991-03-16,,2008-08-17,2011-02-16 23:34:00,8.11,14,341
lotslootl,1007801,139,226,10,14,66,83.15,,,,,2011-11-23,2016-04-28 22:09:00,8.45,0,4930
Kokihatu,148060,10,133,14,3,2,39.83,Male,Finland,1989-08-29,,2009-02-09,2016-11-22 12:45:00,6.8,5,2366
catsmack,512301,4,36,1,0,2,13.89,Male,"Ford City, Pennsylvania",1991-11-29,,2011-07-13,2011-08-01 21:54:00,7.73,3,821
IScreamAimFire,5312432,7,151,6,7,241,95.82,,,,,2016-04-03,1900-03-30 01:52:00,7.59,0,5858
-amu-,307923,9,94,1,5,103,68.71,Female,The Netherlands,1996-03-10,,2010-03-24,2013-05-19 10:17:00,8.95,6,4068
mafuyu_0606,792709,4,154,16,4,2,87.21,Female,"Caloocan, Philippines",1993-06-06,,2011-10-22,2017-09-04 21:25:00,7.6,7,5295
YumeNoKage,20469,6,7,2,0,4,11.77,,,,,2007-11-06,2007-11-20 05:38:00,8.11,0,705
SpeederFalcon,113603,9,212,8,44,4,108.39,Male,"Houston, Texas",,,2008-11-11,1900-04-15 14:24:00,7.93,8,6414
Cyber-bird,261905,5,298,6,17,201,95.84,Male,Bulgaria,1992-08-17,,2009-11-23,1900-05-05 10:33:00,7.31,0,5575
asswithnolife,5961992,6,99,20,2,345,47.60,Non-Binary,AssLand,2018-02-09,,2017-01-07,1900-04-23 09:36:00,7.33,0,66489
Spliffy,201450,6,32,0,3,27,28.88,Male,Michigan,1993-08-07,,2009-07-01,2010-01-04 14:44:00,8.59,6,1707
kartracer76,274627,6,93,7,13,45,28.34,Male,Canada,1993-02-14,,2009-12-27,2017-06-22 15:57:00,7.91,19,1593
Hoshi062,372407,3,442,5,7,36,107.23,Male,,1992-08-21,,2010-08-20,1900-04-26 09:35:00,6.77,0,6703
SethMaruyama,5375817,2,41,2,0,6,15.27,,,,,2016-04-29,2016-06-05 20:59:00,9.87,0,935
yumenights,333839,7,56,6,10,48,32.96,Female,"Rio de Janeiro, Brazil",1995-05-02,,2010-05-27,1900-05-10 13:29:00,8.09,8,1974
lizzylindy,4107253,10,54,1,13,38,30.66,Female,,,,2014-09-18,1900-05-09 13:48:00,8.48,3,1833
anti_zombie,135599,10,188,7,6,54,69.57,Female,Germany,,,2009-01-16,1900-03-03 10:12:00,8.08,0,4140
Ten-Arashi,13669,1,4,2,1,3,3.41,Female,"Adelaide, South Australia",,,2007-09-16,2008-05-20 23:05:00,6.5,1,195
trytosmile,249033,4,98,0,0,1,41.88,Female,"Queensland, Brisbane",1991-05-29,,2009-10-20,2011-11-12 05:40:00,8.35,4,2443
Reminesence,42265,1,2,0,0,0,1.54,Male,"San Clemente, California",1991-08-11,,2008-03-10,2008-03-14 16:12:00,9.67,0,90
Ahondara,1504931,1,390,0,0,27,115.00,Male,"Providence, Rhode Island",,,2012-09-09,2017-04-17 11:03:00,8.21,4,6872
Krymz,52012,6,42,5,3,10,13.67,Male,Hurricane  Alley - Florida- USA,1984-04-03,,2008-04-12,2011-05-29 05:39:00,8.13,0,804
TioKiyoshi,411963,64,611,11,7,196,171.79,Male,"Rio Grande do Sul, Cachoeirinha",1995-09-23,,2010-11-24,2018-05-17 06:44:00,8.09,0,10150
nikane28,26170,8,38,12,2,27,21.20,Female,"naga city,",1990-08-28,,2007-12-14,2014-10-19 02:56:00,9.27,0,1265
sherrylyne,449496,19,7,3,0,10,4.61,Male,,1994-06-15,,2011-02-15,2014-01-15 04:52:00,8.14,0,276
PeopleAreZebras,4768936,9,103,14,2,255,49.01,Female,"On the rainbow, with a leprechaun (u r jealous)",,,2015-07-25,2017-10-11 11:52:00,4.0,33,2920
jamitrius,184199,1,11,0,0,0,5.80,Female,Georgia,,,2009-05-19,2010-07-25 21:55:00,8.08,0,346
Harunagi,408939,0,2,0,0,3,0.82,Female,"Davao City,Philippines",1994-12-20,,2010-11-17,2012-01-13 21:45:00,7.0,0,49
hellsum,53535,0,49,5,0,48,27.70,Male,Turin,1984-01-01,,2008-04-16,2016-09-11 01:27:00,7.91,0,1637
ShellBee,59780,3,57,0,0,0,20.29,,,,,2008-05-11,2008-07-28 20:18:00,9.1,0,1260
twistedlogic,371224,1,15,0,1,1,12.08,Female,,1992-04-20,,2010-08-17,2010-09-18 16:25:00,7.0,1,708
LordoftheHorizon,4523094,5,123,7,20,10,43.57,Male,Beyond the Event Horizon,2000-02-13,,2015-03-28,2018-05-16 08:10:43,5.91,0,2552
dn333,418593,8,153,3,23,15,47.32,Male,"Toronto, Canada ",,,2010-12-11,2017-12-06 18:25:00,6.78,8,2756
DeadlySilence,378528,1,0,0,0,0,0.00,Male,┌∩┐(●'.'●)┌∩┐,,,2010-09-03,2011-08-22 20:50:00,9.0,0,0
makaryn,50058,6,131,8,3,41,60.27,Male,"Poland, Pruszków",1990-12-09,,2008-04-09,1900-05-10 05:51:00,7.79,1,3556
skynth,185996,1,0,0,1,5,4.81,,,,,2009-05-24,2009-10-15 01:26:00,9.5,0,297
jodyann,3256615,0,1,0,0,0,0.91,,,,,2013-10-14,2013-10-19 12:26:00,8.0,1,54
Eosphoros,2509649,5,107,1,0,0,61.45,Male,"Houston,Texas",1993-05-01,,2013-05-01,2015-08-10 00:39:00,8.17,0,3680
begemot,125791,11,46,6,3,55,5.97,Female,,,,2008-12-21,2012-03-14 13:39:00,7.06,0,397
leonardorxs,3418685,12,86,2,6,44,62.09,,,,,,,,,
K04et,94667,2,659,10,0,68,158.14,Male,"Russia,Moscow",1992-04-17,,2008-09-14,2018-05-18 04:59:55,7.89,0,9356
khaerul,2424103,0,5,0,0,0,0.44,Male,"Jakarta , Indonesia",1993-05-31,,2013-04-11,2015-09-07 22:59:00,10.0,0,26
Toa_of_Gallifrey,4201917,21,397,19,38,316,71.60,Male,"Duwang, S city",1999-08-21,,2014-10-24,2018-05-17 04:43:42,6.52,39,4884
SP4RKS,6877400,12,54,10,2,92,16.49,,,,,2018-01-09,2018-05-15 18:49:00,7.51,0,979
Farragian,4450588,6,53,2,0,40,17.44,,,,,2015-01-31,1900-02-21 12:43:00,8.0,2,1039
UndyingQueen,462,20,94,7,0,15,32.16,Female,,1983-04-26,,2006-06-27,2012-06-24 12:49:00,8.56,32,1791
kerplunk,47589,7,7,0,0,23,18.27,Male,"United Kingdom, Wales",1992-01-01,,2008-04-03,2012-04-04 12:07:00,7.27,0,1105
Levisseur,3670925,7,84,1,0,62,49.45,Male,"Makassar, Indonesia",1995-04-03,,2014-04-01,2017-01-13 05:57:00,8.01,0,2953
Piadith,5874474,21,196,5,0,6,52.07,Male,Enschede,1994-11-09,,2016-12-02,1900-05-16 09:17:00,7.87,3,3135
xeixei,6113,2,18,3,5,0,11.96,,"Aberdeen, Scotland.",,,2007-06-23,2009-08-31 07:37:00,7.18,0,707
Cartesson,563867,5,64,0,2,12,31.36,Male,,1995-10-30,,2011-09-03,2017-09-25 19:18:00,8.47,0,1843
Dai32111,120015,0,0,0,0,0,0.00,Male,,1993-04-13,,2008-12-03,2010-01-01 13:09:00,0.0,0,0
Naskenightmare,7052186,1,0,0,0,0,0.02,,,,,2018-03-12,1900-03-18 14:41:00,0.0,0,1
xandreade,471776,16,299,11,82,971,54.80,,,,,2011-04-09,1900-04-12 19:34:00,5.17,1,3692
HansWorst,481847,9,154,0,2,12,57.34,Male,,,,2011-05-02,2015-03-11 09:37:00,7.07,10,3464
NightMyst6,5283448,23,159,47,18,26,57.03,Male,BC,,,2016-03-23,2018-05-18 09:00:11,7.66,5,3512
Chiperda,41620,1,341,14,15,16,118.25,Male,,1987-01-16,,2008-03-07,2016-12-22 22:39:00,7.55,25,6909
SK8ERBOI,5030632,2,61,0,0,48,30.12,Male,,,,2015-12-04,1900-05-09 05:36:00,9.21,0,1775
minami_desu,1378731,0,246,19,3,170,68.60,Female,"Samara, Russia",1994-01-24,,2012-07-04,1900-04-16 07:52:00,7.54,60,4197
Egnawolk,361936,50,686,10,32,76,195.03,Male,Sweden,1988-01-08,,2010-07-28,1900-05-16 12:30:00,7.49,72,11860
PuriPetticoat,392869,34,45,16,15,208,28.66,,,1992-02-01,,2010-10-07,2013-03-20 00:03:00,9.0,0,1700
Atzin,4317129,49,333,0,6,96,69.59,Male,,1998-04-11,,2014-12-12,1900-05-11 18:45:00,7.55,18,4042
animefreak_usa,423285,7,318,4,19,18,88.75,,,,,2010-12-22,2018-05-14 19:58:06,7.45,0,5423
Otakulover,34169,0,0,0,0,0,0.00,,,,,2008-01-28,2008-01-28 19:49:00,0.0,0,0
JigoKuu_,92057,11,15,0,0,5,10.03,Male,,1991-02-16,,2008-09-04,2010-01-04 22:01:00,8.57,3,598
redcastro,268907,7,507,2,12,23,135.33,Male,The Great White North,,,2009-12-12,1900-04-06 15:26:00,6.95,0,7865
Illwrath,4011779,0,391,0,0,389,116.82,,,1992-05-20,,2014-08-11,1900-05-15 22:58:00,7.4,0,6997
bilun,1410267,4,151,23,11,33,43.77,,,,,2012-07-21,1900-05-08 06:57:00,4.56,0,2636
Bakanomi,3320285,3,28,2,1,61,19.65,,NY,1997-04-14,,2013-11-06,1900-03-16 12:57:00,9.2,0,1188
Evirus,20696,0,1,0,0,0,0.08,,,,,2007-11-07,2018-05-16 08:53:00,3.0,0,8
luvame,63428,5,15,2,0,0,6.22,,,,,2008-05-25,2008-05-25 05:38:00,8.6,0,365
Egleh,4162037,18,242,21,1,42,110.29,Male,"Skövde, Sweden",1994-02-28,,2014-10-08,2018-05-18 09:00:26,7.76,0,6572
Br3mbo,5377847,4,132,5,3,70,63.10,Male,"L'Hospitalet de Llobregat, Spain",1994-10-16,,2016-04-30,2018-05-18 01:00:28,7.82,20,3590
yamato-kun,134447,9,55,0,1,4,30.44,,"le havre, France",,,2009-01-13,2016-03-14 17:08:00,7.55,0,1806
indekplay,6322789,8,102,1,1,11,40.21,,,,,2017-06-17,1900-04-06 15:23:00,7.98,0,2419
rocketbus,507211,6,49,4,4,35,24.60,,,,,2011-07-03,2014-05-09 10:04:00,7.0,25,1461
tsubame-chi,2528363,9,194,61,3,125,158.80,Female,United States,1998-11-23,,2013-05-05,1900-03-26 20:38:00,8.39,4,9499
KarenDran,43320,29,153,2,16,20,49.13,Female,"Fife, Scotland",1991-04-08,,2008-03-16,2017-10-10 15:40:00,7.11,64,2879
ChibiHime,75589,10,298,19,11,192,80.35,Female,,,,2008-07-10,1900-05-01 01:09:00,7.35,24,4701
slik48,22832,1,0,0,0,0,0.73,Male,Nun-Ya,1978-01-01,,2007-11-20,2007-12-09 20:11:00,8.0,0,45
DJURONIMO,1983822,10,334,23,2,211,92.17,Male,"Earth, Europe, The Netherlands, Drenthe, Hoogeveen",1998-08-03,,2013-01-03,2018-05-18 09:00:43,0.0,6,5789
Coldblade,3916841,18,97,7,37,54,42.61,Male,,1993-09-11,,2014-07-11,1900-04-17 20:13:00,6.6,0,2654
Dynames,1344641,166,202,45,0,391,96.86,Non-Binary,"Toronto, Canada",,,2012-06-13,2018-05-18 09:00:45,7.83,30,5732
Rukako,566425,11,327,11,47,61,138.06,Male,"Osnago (LC), Italy",1995-02-01,,2011-09-06,1900-05-13 01:12:00,6.72,1,8140
LawinatorEX,78686,24,463,52,7,0,163.17,,,,,2008-07-21,2018-05-15 08:07:08,7.5,1,9760
linkmitch,1177827,17,224,8,4,148,58.59,Male,,1994-09-24,,2012-03-02,2018-05-16 12:26:00,7.79,0,3547
piupau,39982,4,91,9,8,7,42.48,Female,Finland,1989-03-20,,2008-02-27,2010-07-01 12:56:00,8.02,0,2498
Underfined,33880,5,537,3,4,59,265.44,Male,ANKARA-Elvankent,1992-12-07,,2008-01-27,2018-05-18 11:45:48,7.56,0,16092
Elinor_Strife,524973,46,718,76,10,278,140.56,Female,"Polska,Nysa",1996-05-24,,2011-07-25,2018-05-18 01:00:50,9.21,0,8939
Turok1107,4864519,23,691,5,8,155,187.60,Male,Colorado,1998-04-18,,2015-09-08,1900-05-14 22:38:00,7.57,204,11499
eduardopinho,1083911,4,105,0,1,0,37.68,Male,,,,2012-01-01,2016-08-05 19:32:00,7.93,0,2255
bloody9000,5093422,101,213,0,2,84,66.04,,,,,2016-01-01,1900-04-20 23:11:00,8.83,0,3996
Dekotar,3321039,3,53,1,0,1,41.59,Male,,1996-11-20,,2013-11-07,2013-11-10 02:06:00,0.0,0,2504
Tof,169178,30,248,34,19,68,78.37,Male,"Paris, France :(",1987-03-15,,2009-04-11,2010-02-13 01:14:00,8.07,0,4573
Yamanoshi,782189,0,0,0,0,0,0.00,Female,,1993-04-14,,2011-10-20,2011-10-22 13:25:00,0.0,0,0
Renty,89009,2,9,0,0,0,4.42,Male,in your mind,,,2008-08-25,2010-07-10 00:15:00,8.18,0,262
Missy87,6000227,29,70,3,10,71,22.85,Female,Italia,1987-10-30,,2017-01-22,2018-05-18 08:01:00,7.44,0,1389
sesshy85,167689,2,66,11,4,10,84.31,Female,New York,,,2009-04-07,1900-04-02 19:28:00,9.59,13,5032
predi,82186,12,100,0,0,0,41.56,Male,Starogard Gdański,1990-07-12,,2008-08-02,2010-05-12 12:35:00,10.0,0,2526
moppu,209231,1,0,0,0,0,0.00,,Japan,1987-10-26,,2009-07-17,2012-04-16 10:13:00,7.0,0,0
Hannah_Ana,128490,27,1248,3,96,506,288.56,Female,Right behind you...,,,2008-12-29,2018-05-18 06:01:07,6.84,19,17383
Pinguinus,222460,2,57,15,14,69,69.69,Male,Romania,1990-07-13,,2009-08-17,1900-02-05 15:41:00,7.44,14,4152
Otakuvania,2169593,14,233,3,5,40,224.08,,Canberra,,,2013-02-12,1900-04-16 12:41:00,8.24,0,13086
MaxTraveler,19254,1,63,12,7,31,41.58,Male,,,,2007-10-29,2017-07-19 11:03:00,7.52,7,2489
Pollypocha,309396,0,0,0,0,0,0.00,Female,Philippines,1990-12-23,,2010-03-28,2010-09-25 08:01:00,0.0,0,0
Yojimbo_Ex,106484,23,379,33,74,130,62.17,Male,Malaysia,,,2008-10-19,1900-01-22 07:37:00,7.17,0,3992
ProLamer,116428,10,429,27,18,140,160.66,Male,,,,2008-11-21,2018-05-14 14:23:15,7.74,6,9677
SprinkelsSparkle,6661722,3,1,0,0,1,0.31,Female,Valencia,2000-03-25,,2017-10-24,2017-10-29 01:54:00,9.75,0,28
KuronekoSenpai,1305953,13,1119,6,0,207,256.07,Male,Akihabara,1997-06-14,,2012-05-17,1900-05-12 18:40:00,6.34,39,16411
paranda,19534,4,348,1,75,22,79.24,Male,私立あべにゅう学園,,,2007-10-31,2017-07-17 20:50:00,6.23,0,4997
indiaris,1470645,0,8,1,0,11,2.77,Female,,1990-06-26,,2012-08-21,2014-04-12 09:54:00,7.5,0,170
ashfen99,132841,2,1,0,0,0,1.30,Male,,1992-12-11,,2009-01-09,2012-01-02 10:58:00,8.67,0,77
pyroguy760,122536,55,274,6,29,146,79.89,Male,"Westminster, California",1990-10-22,,2008-12-10,2017-10-06 10:50:00,8.01,1,4825
Juhusagi,2493927,4,342,64,0,257,70.00,Female,"América, Rio Grande do Sul",1997-10-13,,2013-04-27,2018-05-18 05:01:17,7.56,1,4383
Tibilan,275229,29,54,21,2,70,39.64,,,,,2009-12-28,2015-01-21 10:05:00,8.19,0,2340
Groovy_Q,1389983,5,116,27,24,47,47.37,Male,,,,2012-07-10,1900-05-03 22:24:00,7.61,0,2749
AngelsArcanum,1999512,52,474,59,33,327,147.94,Male,"Toronto, Ontario",1995-01-20,,2013-01-06,2018-05-17 08:32:00,6.27,0,8630
davidvo89,92609,0,0,0,0,1,0.00,,,,,2008-09-06,2009-10-24 23:11:00,0.0,0,0
tmwmn,1259785,1,281,28,0,57,98.37,Male,,,,2012-04-17,2017-12-10 05:18:00,6.6,128,5491
wizarda,6184,8,181,5,24,59,78.59,Male,"Bulgaria,Veliko Turnovo(Great Turnovo)",1991-11-23,,2007-06-24,2015-03-20 04:37:00,9.08,3,4500
Shinkaism,3446075,18,99,5,39,26,25.65,Male,"Hornsby, Australia",1997-08-02,,2013-12-31,1900-03-03 18:31:00,5.85,5,1510
Riscolso,4522914,16,439,35,64,202,133.85,Male,,1996-08-03,,2015-03-28,1900-05-06 00:32:00,7.95,16,8631
resha31773,505214,2,1,2,0,9,1.08,Female,philippines,1992-02-14,,2011-06-29,2011-08-08 21:18:00,8.0,0,66
stellalala,2689871,7,246,3,20,64,60.87,Female,,,,2013-06-09,1900-05-05 00:12:00,5.37,3,3709
Fubuki22,5904627,12,36,0,5,61,20.10,Male,"Prahova,Romania",2002-09-05,,2016-12-15,1900-05-13 04:17:00,8.78,0,1226
HTsuave,2378873,6,53,15,15,0,35.95,Male,,,,2013-04-01,1900-05-02 16:22:00,7.1,0,2155
Chococobo,60124,4,58,0,0,33,27.41,Female,,,,2008-05-13,2013-04-29 12:17:00,0.0,0,1594
Aeon,7255,34,228,11,16,29,95.83,Male,Sweden,,,2007-07-10,2018-05-17 04:06:00,7.09,0,5768
Kron114,269744,272,423,38,12,147,124.15,Male,,1991-11-13,,2009-12-14,1900-05-13 00:29:00,6.72,0,7462
